"165","216","3","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
2,12,66,11,7,2,29,13,15,15,61,23,0,0,10,0,"2023-04-20 14:00:02","1374","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1374/LRP.json"
2,6,66,7,2,1,35,5,25,13,57,29,0,0,1,0,"2023-04-20 14:00:02","1375","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1375/LRP.json"
2,5,67,11,5,2,29,8,23,11,67,30,0,0,0,0,"2023-04-20 14:00:02","1376","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1376/LRP.json"
1,8,43,4,2,2,15,4,19,13,38,16,0,0,0,0,"2023-04-20 13:00:01","1377","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1377/LRP.json"
3,4,41,9,0,1,21,9,6,15,38,3,0,0,3,0,"2023-04-20 12:25:01","1378","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1378/LRP.json"
3,16,62,6,7,3,21,15,20,17,66,28,0,0,0,0,"2023-04-20 13:00:01","1358","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1358/LRP.json"
2,16,56,5,3,0,24,8,28,13,67,19,0,0,4,0,"2023-04-20 13:25:01","1359","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1359/LRP.json"
0,7,65,17,4,1,32,4,15,13,64,22,0,0,10,0,"2023-04-20 13:00:01","1360","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1360/LRP.json"
2,12,49,3,4,8,19,13,37,11,80,9,0,0,0,0,"2023-04-20 14:00:02","1361","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1361/LRP.json"
2,7,62,2,4,2,37,8,23,15,60,31,0,0,0,0,"2023-04-20 13:00:01","1362","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1362/LRP.json"
1,17,70,5,4,3,22,4,23,20,65,25,0,0,5,0,"2023-04-20 12:00:01","1363","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1363/LRP.json"
1,14,72,5,5,2,27,8,30,10,53,39,0,0,0,0,"2023-04-20 12:25:01","1364","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1364/LRP.json"
0,21,75,8,1,0,14,6,27,12,72,15,0,0,0,0,"2023-04-20 14:00:02","1365","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1365/LRP.json"
0,9,76,4,1,2,118,4,18,9,7,19,0,0,5,0,"2023-04-21 10:25:01","1053","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1053/LRP.json"
1,12,70,6,1,2,92,1,32,14,5,32,0,0,0,0,"2023-04-21 09:25:01","1054","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1054/LRP.json"
0,4,71,3,0,0,116,2,23,14,9,19,0,0,13,0,"2023-04-20 13:00:01","1055","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1055/LRP.json"
1,9,65,5,3,1,85,5,26,8,16,30,0,0,4,0,"2023-04-20 12:00:01","1056","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1056/LRP.json"
0,7,61,1,4,0,127,2,22,12,12,29,0,0,6,0,"2023-04-20 12:00:01","1057","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1057/LRP.json"
1,8,75,3,1,1,95,4,28,19,7,25,0,0,3,0,"2023-04-20 12:25:01","1058","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1058/LRP.json"
3,8,65,12,3,2,102,5,18,12,12,24,0,0,0,0,"2023-04-20 12:25:01","1059","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1059/LRP.json"
1,12,59,9,2,0,97,2,23,10,12,35,0,0,7,0,"2023-04-20 12:25:01","1060","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1060/LRP.json"
0,10,7,5,1,4,99,2,19,9,73,37,0,0,0,0,"2023-04-20 12:25:01","1061","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1061/LRP.json"
1,14,71,5,1,1,103,3,28,15,14,16,0,0,0,0,"2023-04-20 12:25:01","1062","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1062/LRP.json"
0,7,74,3,0,0,77,0,19,5,5,18,0,0,4,0,"2023-04-20 13:00:01","1063","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1063/LRP.json"
2,11,61,3,2,0,82,1,14,9,5,16,0,0,4,0,"2023-04-20 12:00:01","1064","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1064/LRP.json"
1,13,65,1,4,0,129,9,19,12,6,23,0,0,5,0,"2023-04-20 09:50:01","1047","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1047/LRP.json"
