"165","216","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
0,11,8,1,3,96,2,30,8,74,30,0,0,3,0,"2023-04-16 22:50:01","1061","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1061/GOB.json"
1,14,4,1,1,103,3,32,16,84,15,0,0,0,0,"2023-04-16 22:50:01","1062","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1062/GOB.json"
0,9,3,0,0,74,0,32,7,72,11,0,0,4,0,"2023-04-16 22:50:01","1063","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1063/GOB.json"
1,10,4,2,0,77,1,29,11,64,9,4,0,2,0,"2023-04-16 22:50:01","1064","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1064/GOB.json"
2,14,0,4,0,124,8,28,14,72,16,0,0,5,0,"2023-04-16 22:50:01","1047","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1047/GOB.json"
0,11,3,2,0,106,3,45,16,58,18,0,0,4,2,"2023-04-16 22:50:01","1048","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1048/GOB.json"
1,14,10,2,2,95,3,33,16,76,25,0,0,3,0,"2023-04-16 23:05:01","1049","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1049/GOB.json"
4,16,2,4,2,99,3,36,19,70,20,0,0,4,0,"2023-04-16 22:50:01","1050","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1050/GOB.json"
1,8,5,1,0,85,3,41,13,71,26,0,0,3,0,"2023-04-16 22:50:01","1051","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1051/GOB.json"
1,9,2,1,0,83,2,36,18,89,2,2,0,2,0,"2023-04-16 23:10:01","1052","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1052/GOB.json"
4,19,7,14,0,20,19,57,59,44,6,2,0,7,0,"2023-04-16 21:25:01","1128","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1128/GOB.json"
6,24,10,13,4,23,8,59,53,38,5,0,0,4,1,"2023-04-16 21:25:01","1129","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1129/GOB.json"
3,17,15,5,3,10,13,68,54,54,9,0,0,4,0,"2023-04-16 21:25:01","1130","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1130/GOB.json"
3,13,14,5,6,14,12,51,64,48,7,0,0,3,0,"2023-04-16 21:25:01","1131","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1131/GOB.json"
8,19,5,8,2,22,19,61,57,46,5,0,0,3,0,"2023-04-16 21:15:01","1132","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1132/GOB.json"
11,24,10,9,2,9,5,58,53,56,3,2,0,5,0,"2023-04-16 21:15:01","1133","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1133/GOB.json"
8,15,14,11,4,13,9,48,61,52,6,0,0,5,0,"2023-04-16 21:15:01","1134","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1134/GOB.json"
4,17,13,10,2,15,10,65,61,45,4,0,0,8,1,"2023-04-16 21:15:01","1135","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1135/GOB.json"
5,22,10,6,2,22,9,44,69,44,3,0,0,9,2,"2023-04-16 21:20:01","1136","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1136/GOB.json"
6,28,7,6,1,25,9,53,55,26,10,0,0,6,0,"2023-04-16 21:10:01","1191","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1191/GOB.json"
5,27,5,7,2,9,5,81,54,47,5,0,0,4,0,"2023-04-16 21:05:02","1192","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1192/GOB.json"
2,12,9,7,0,12,7,71,60,45,5,0,0,9,0,"2023-04-16 21:10:01","1193","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1193/GOB.json"
5,20,9,4,4,7,13,61,42,44,3,0,0,10,0,"2023-04-16 21:25:01","1194","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1194/GOB.json"
3,18,11,6,4,18,14,75,46,38,8,2,0,9,0,"2023-04-16 21:10:01","1195","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1195/GOB.json"
7,25,21,9,6,29,8,64,51,41,6,2,0,1,0,"2023-04-16 21:25:01","1069","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1069/GOB.json"
4,18,18,3,3,16,26,50,56,48,7,0,0,18,0,"2023-04-16 21:15:01","1070","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1070/GOB.json"
4,34,18,3,3,24,17,52,54,37,4,0,0,9,0,"2023-04-16 21:25:01","1071","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1071/GOB.json"
2,27,27,5,3,40,9,69,45,30,8,0,0,7,0,"2023-04-16 21:15:01","1072","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1072/GOB.json"
2,10,9,4,3,20,6,38,37,36,5,0,0,9,1,"2023-04-16 21:35:01","1073","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1073/GOB.json"
5,20,13,3,1,15,5,48,34,28,2,0,0,5,0,"2023-04-16 21:25:01","1074","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1074/GOB.json"
3,20,7,9,2,7,8,86,35,35,9,0,0,4,0,"2023-04-16 21:20:01","1150","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1150/GOB.json"
4,13,10,5,4,11,5,106,29,35,5,0,0,3,1,"2023-04-16 21:05:02","1151","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1151/GOB.json"
10,33,8,7,2,11,7,68,34,31,5,0,0,4,0,"2023-04-16 21:25:01","1152","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1152/GOB.json"
2,19,7,6,3,1,9,96,29,23,10,0,0,5,20,"2023-04-16 21:10:01","1153","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1153/GOB.json"
8,23,10,4,4,7,6,24,35,19,4,2,0,3,0,"2023-04-16 21:25:01","1154","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1154/GOB.json"
9,17,10,14,1,5,10,62,57,55,5,0,0,5,0,"2023-04-16 21:20:01","1123","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1123/GOB.json"
10,25,16,9,1,17,5,54,46,50,3,0,0,14,0,"2023-04-16 21:35:01","1124","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1124/GOB.json"
3,30,7,8,2,13,7,42,61,63,0,0,0,4,2,"2023-04-16 21:20:01","1125","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1125/GOB.json"
4,28,18,9,6,12,11,49,57,66,2,0,0,6,0,"2023-04-16 21:20:01","1126","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1126/GOB.json"
5,25,12,3,2,14,13,54,55,57,7,0,0,10,1,"2023-04-16 21:30:01","1127","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1127/GOB.json"
4,17,5,11,6,17,9,74,64,39,3,0,0,8,0,"2023-04-16 21:10:01","1196","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1196/GOB.json"
7,26,18,3,1,16,13,69,44,36,10,0,0,10,0,"2023-04-16 21:20:01","1198","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1198/GOB.json"
10,20,13,7,5,18,9,55,54,49,6,0,0,8,0,"2023-04-16 21:35:01","1199","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1199/GOB.json"
5,24,9,7,1,13,17,73,44,44,6,0,0,10,0,"2023-04-16 21:05:02","1200","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1200/GOB.json"
5,17,8,9,2,8,5,42,36,35,1,0,0,6,0,"2023-04-16 21:05:02","1201","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1201/GOB.json"
3,19,8,3,1,11,5,43,33,36,7,0,0,2,0,"2023-04-16 21:05:02","1202","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1202/GOB.json"
0,21,10,7,5,12,7,54,52,54,7,0,0,1,0,"2023-04-16 20:45:01","1239","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1239/GOB.json"
6,17,8,3,2,18,15,53,59,57,5,0,0,7,0,"2023-04-16 20:40:01","1241","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1241/GOB.json"
4,20,12,5,5,18,8,57,73,40,12,1,0,13,1,"2023-04-16 20:40:01","1242","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1242/GOB.json"
3,29,13,10,1,25,20,43,72,32,5,0,0,7,1,"2023-04-16 20:50:01","1243","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1243/GOB.json"
7,21,18,11,2,10,14,42,58,50,8,0,0,5,0,"2023-04-16 20:45:01","1244","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1244/GOB.json"
4,20,9,7,1,21,10,65,39,54,4,0,0,7,1,"2023-04-16 20:40:01","1245","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1245/GOB.json"
2,26,12,10,6,8,15,58,65,40,10,0,0,8,0,"2023-04-16 20:50:01","1246","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1246/GOB.json"
6,23,3,12,0,16,17,102,31,45,7,0,0,5,2,"2023-04-16 22:05:01","1108","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1108/GOB.json"
6,30,11,13,1,23,16,72,46,37,4,0,0,11,0,"2023-04-16 22:20:01","1109","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1109/GOB.json"
8,16,7,8,3,8,6,82,46,43,1,0,0,18,0,"2023-04-16 22:05:01","1112","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1112/GOB.json"
5,38,6,4,0,40,11,75,44,33,6,0,0,5,0,"2023-04-16 22:25:02","1113","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1113/GOB.json"
3,28,5,5,0,9,8,45,31,31,4,0,0,9,0,"2023-04-16 22:05:01","1114","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1114/GOB.json"
4,26,16,8,5,8,10,70,44,53,7,0,0,5,0,"2023-04-16 21:05:02","1169","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1169/GOB.json"
3,21,9,8,3,8,8,78,47,49,12,0,0,3,0,"2023-04-16 21:00:01","1170","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1170/GOB.json"
6,21,5,5,1,8,10,91,44,40,2,0,0,7,2,"2023-04-16 21:00:01","1171","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1171/GOB.json"
