"216","3","424","425","426","427","428","429","430","431","BLC","IMP","NUL","REC","hora_proceso","numero","url"
6,58,9,6,3,,9,18,12,89,35,0,5,0,"2023-04-25 14:25:01","1372","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1372/LEC.json"
12,61,6,5,0,,9,11,13,91,42,0,0,0,"2023-04-20 14:00:02","1343","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1343/LEC.json"
9,58,6,5,0,,9,25,14,93,39,0,0,0,"2023-04-20 14:00:02","1344","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1344/LEC.json"
6,57,5,4,2,,6,22,15,91,29,0,9,0,"2023-04-20 16:25:01","1345","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1345/LEC.json"
10,64,5,4,2,,8,21,14,89,34,0,2,0,"2023-04-20 14:00:02","1346","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1346/LEC.json"
8,74,9,6,4,,11,14,94,0,46,0,0,0,"2023-04-20 14:00:02","1347","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1347/LEC.json"
19,72,6,1,3,,3,26,7,88,33,0,6,0,"2023-04-20 14:25:01","1348","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1348/LEC.json"
9,75,3,2,3,,13,8,11,70,65,0,0,0,"2023-04-20 14:00:02","1349","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1349/LEC.json"
9,67,12,3,1,,4,19,22,95,26,0,7,0,"2023-04-20 14:25:01","1373","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1373/LEC.json"
12,72,10,7,2,,12,16,13,90,22,0,10,0,"2023-04-20 14:00:02","1374","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1374/LEC.json"
6,72,6,1,1,,4,21,13,55,67,0,3,0,"2023-04-20 14:00:02","1375","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1375/LEC.json"
4,63,12,4,2,,8,17,12,96,42,0,0,0,"2023-04-20 14:00:02","1376","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1376/LEC.json"
6,45,2,2,2,,4,21,13,53,20,0,0,0,"2023-04-20 13:00:01","1377","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1377/LEC.json"
5,44,9,0,1,,8,4,15,59,5,0,3,0,"2023-04-20 12:25:01","1378","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1378/LEC.json"
16,63,6,7,3,,15,20,17,82,35,0,0,0,"2023-04-20 13:00:01","1358","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1358/LEC.json"
16,55,4,3,0,,8,12,13,92,35,0,7,0,"2023-04-20 13:25:01","1359","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1359/LEC.json"
7,68,13,4,2,,3,13,15,93,26,0,10,0,"2023-04-20 13:00:01","1360","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1360/LEC.json"
11,49,3,4,8,,13,24,10,103,22,0,0,0,"2023-04-20 14:00:02","1361","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1361/LEC.json"
7,66,2,4,2,,8,20,13,100,33,0,0,0,"2023-04-20 13:00:01","1362","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1362/LEC.json"
15,76,4,4,2,,4,17,18,89,30,0,5,0,"2023-04-20 12:00:01","1363","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1363/LEC.json"
14,74,5,5,2,,8,23,10,80,45,0,0,0,"2023-04-20 12:25:01","1364","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1364/LEC.json"
20,76,8,0,0,,6,22,11,87,21,0,0,0,"2023-04-20 14:00:02","1365","https://rionegro.datosoficiales.com/resultados/RN/1/2855/9/1365/LEC.json"
12,76,4,1,1,,3,19,8,128,16,0,5,0,"2023-04-21 10:25:01","1053","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1053/LEC.json"
12,78,6,0,2,,1,28,16,96,29,0,0,0,"2023-04-21 09:25:01","1054","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1054/LEC.json"
5,74,3,0,0,,2,20,14,129,12,0,13,0,"2023-04-20 13:00:01","1055","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1055/LEC.json"
9,67,5,3,1,,5,26,13,101,24,0,4,0,"2023-04-20 12:00:01","1056","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1056/LEC.json"
5,63,1,3,0,,2,19,13,129,41,0,7,0,"2023-04-20 12:00:01","1057","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1057/LEC.json"
8,77,3,0,1,,4,25,17,9,123,0,3,0,"2023-04-20 12:25:01","1058","https://rionegro.datosoficiales.com/resultados/RN/1/2895/1/1058/LEC.json"
8,66,12,3,2,,4,16,13,112,30,0,0,0,"2023-04-20 12:25:01","1059","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1059/LEC.json"
12,61,8,2,1,,3,17,9,112,34,0,10,0,"2023-04-20 12:25:01","1060","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1060/LEC.json"
10,9,4,1,7,,2,15,5,172,41,0,0,0,"2023-04-20 12:25:01","1061","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1061/LEC.json"
13,72,4,1,1,,3,28,17,17,116,0,0,0,"2023-04-20 12:25:01","1062","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1062/LEC.json"
7,76,2,0,0,,0,18,5,83,17,0,4,0,"2023-04-20 13:00:01","1063","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1063/LEC.json"
