"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,4,15,89,11,122,5,0,0,0,8,0,"2019-04-12 17:35:02","474","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/474/GOB.json"
4,2,11,104,12,96,6,6,0,0,14,0,"2019-04-12 17:35:02","475","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/475/GOB.json"
3,4,18,104,5,108,13,1,0,0,10,0,"2019-04-12 17:35:02","476","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/476/GOB.json"
1,2,10,96,14,117,10,10,0,0,5,0,"2019-04-12 17:35:02","477","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/477/GOB.json"
1,7,8,96,6,111,11,0,0,0,13,0,"2019-04-12 17:35:02","478","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/478/GOB.json"
5,6,13,95,9,98,8,4,0,0,8,0,"2019-04-12 17:35:02","479","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/479/GOB.json"
7,5,12,104,12,111,5,3,0,0,4,0,"2019-04-12 17:35:02","480","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/480/GOB.json"
2,5,16,93,15,95,7,10,0,0,10,0,"2019-04-12 17:35:02","481","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/481/GOB.json"
7,5,17,101,10,112,13,5,0,0,9,0,"2019-04-12 17:35:02","482","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/482/GOB.json"
4,4,17,74,6,123,7,1,0,0,6,0,"2019-04-12 17:35:02","483","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/483/GOB.json"
2,6,17,101,11,103,4,0,0,0,10,0,"2019-04-12 17:35:02","484","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/484/GOB.json"
8,7,14,95,15,120,4,3,0,0,7,0,"2019-04-12 17:35:02","485","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/485/GOB.json"
4,2,10,91,10,121,10,3,0,0,4,0,"2019-04-12 17:35:02","486","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/486/GOB.json"
1,3,12,90,14,112,11,6,0,0,5,0,"2019-04-12 17:35:02","487","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/487/GOB.json"
1,3,7,97,7,110,9,0,0,0,2,0,"2019-04-12 17:35:02","488","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/488/GOB.json"
6,6,13,89,6,98,5,11,0,0,8,0,"2019-04-12 17:35:02","489","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/489/GOB.json"
4,4,20,88,5,92,7,1,0,0,6,0,"2019-04-12 17:35:02","490","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/490/GOB.json"
2,2,18,91,2,102,5,5,0,0,4,0,"2019-04-12 17:35:02","491","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/491/GOB.json"
6,5,24,76,9,102,11,4,0,0,12,0,"2019-04-12 17:35:02","492","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/492/GOB.json"
7,2,10,85,4,124,8,1,0,0,8,0,"2019-04-12 17:35:02","493","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/493/GOB.json"
4,8,10,76,12,130,2,9,0,0,8,0,"2019-04-12 17:35:02","494","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/494/GOB.json"
0,4,22,71,17,130,12,1,0,0,11,0,"2019-04-12 17:35:02","495","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/495/GOB.json"
4,5,11,73,15,135,17,7,0,0,11,0,"2019-04-12 17:35:02","496","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/496/GOB.json"
9,12,14,76,17,106,5,5,0,0,3,0,"2019-04-12 17:35:02","497","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/497/GOB.json"
1,1,4,46,6,94,24,6,0,0,4,0,"2019-04-12 17:35:02","498","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/498/GOB.json"
1,3,0,48,8,90,27,3,0,0,4,0,"2019-04-12 17:35:02","499","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/499/GOB.json"
3,3,3,32,5,86,24,3,0,0,5,0,"2019-04-12 17:35:02","500","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/500/GOB.json"
1,3,4,36,4,90,32,2,0,0,2,0,"2019-04-12 17:35:02","501","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/501/GOB.json"
2,7,4,39,8,94,18,4,0,0,3,0,"2019-04-12 17:35:02","502","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/502/GOB.json"
3,1,1,47,5,106,13,1,0,0,5,0,"2019-04-12 17:35:02","503","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/503/GOB.json"
3,2,2,29,4,103,30,1,0,0,5,0,"2019-04-12 17:35:02","504","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/504/GOB.json"
5,6,11,62,10,113,22,2,0,0,0,0,"2019-04-12 17:35:02","505","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/505/GOB.json"
6,5,5,49,8,116,32,3,0,0,6,0,"2019-04-12 17:35:02","506","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/506/GOB.json"
3,7,9,53,8,119,23,3,0,0,4,0,"2019-04-12 17:35:02","507","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/507/GOB.json"
1,5,6,59,7,131,23,0,0,0,3,0,"2019-04-12 17:35:02","508","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/508/GOB.json"
