"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
9,8,20,84,7,100,10,4,0,0,6,0,"2019-04-12 17:35:02","462","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/462/LRP.json"
1,6,27,86,10,102,8,8,0,0,2,0,"2019-04-12 17:35:02","463","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/463/LRP.json"
5,3,17,93,13,96,10,9,0,0,11,0,"2019-04-12 17:35:02","464","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/464/LRP.json"
2,7,23,73,10,121,12,8,0,0,6,0,"2019-04-12 17:35:02","465","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/465/LRP.json"
2,7,22,89,12,90,16,5,0,0,15,0,"2019-04-12 17:35:02","466","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/466/LRP.json"
3,2,8,81,15,108,5,5,0,0,6,0,"2019-04-12 17:35:02","467","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/467/LRP.json"
3,4,17,82,11,113,7,6,0,0,6,0,"2019-04-12 17:35:02","468","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/468/LRP.json"
7,4,12,76,12,121,4,6,0,0,15,0,"2019-04-12 17:35:02","469","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/469/LRP.json"
3,5,19,79,11,113,6,4,0,0,4,0,"2019-04-12 17:35:02","470","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/470/LRP.json"
0,11,16,72,10,119,13,4,0,0,6,0,"2019-04-12 17:35:02","471","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/471/LRP.json"
4,7,21,98,11,113,5,3,0,0,8,0,"2019-04-12 17:35:02","472","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/472/LRP.json"
2,1,28,76,6,109,5,8,0,0,6,0,"2019-04-12 17:35:02","473","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/473/LRP.json"
3,4,16,85,11,120,4,6,0,0,8,0,"2019-04-12 17:35:02","474","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/474/LRP.json"
4,5,13,99,12,98,6,4,0,0,14,0,"2019-04-12 17:35:02","475","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/475/LRP.json"
