"165","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
2,2,85,13,70,22,8,0,0,5,0,"2019-04-12 17:35:02","384","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/384/LRC.json"
1,3,77,14,62,31,15,0,0,0,0,"2019-04-12 17:35:02","385","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/385/LRC.json"
4,14,66,8,111,20,12,0,0,1,0,"2019-04-12 17:35:02","526","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/526/LRC.json"
3,7,72,5,111,21,2,0,0,7,0,"2019-04-12 17:35:02","527","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/527/LRC.json"
4,9,63,9,116,20,10,0,0,5,0,"2019-04-12 17:35:02","528","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/528/LRC.json"
3,7,64,10,118,16,2,0,0,5,0,"2019-04-12 17:35:02","529","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/529/LRC.json"
2,13,64,9,118,13,8,0,0,3,0,"2019-04-12 17:35:02","530","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/530/LRC.json"
6,13,77,10,104,22,3,0,0,5,0,"2019-04-12 17:35:02","531","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/531/LRC.json"
6,3,60,10,84,39,5,0,0,2,0,"2019-04-12 17:35:02","532","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/532/LRC.json"
2,6,54,15,72,27,13,0,0,7,0,"2019-04-12 17:35:02","533","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/533/LRC.json"
6,6,54,5,104,41,2,0,0,4,0,"2019-04-12 17:35:02","534","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/534/LRC.json"
4,6,65,6,72,25,4,0,0,6,0,"2019-04-12 17:35:02","535","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/535/LRC.json"
3,17,70,5,98,9,17,0,0,4,0,"2019-04-12 17:35:02","536","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/22/536/LRC.json"
1,15,79,8,111,16,14,0,0,5,0,"2019-04-12 17:35:02","537","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/22/537/LRC.json"
2,11,77,9,100,26,9,0,0,2,0,"2019-04-12 17:35:02","538","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/22/538/LRC.json"
