"102","104","1539","1547","1548","1549","1550","20","30","31","524","8","BLC","IMP","NUL","REC","hora_proceso","numero","url"
3,5,0,6,69,20,75,3,27,1,15,0,8,0,7,4,"2019-05-12 23:05:01","1169","http://www.datosoficiales.com/resultados/CO/1/112/103/1169/GOB.json"
2,5,1,8,78,20,95,3,20,1,8,0,7,0,2,1,"2019-05-12 21:50:01","1170","http://www.datosoficiales.com/resultados/CO/1/112/103/1170/GOB.json"
4,5,0,7,64,19,99,3,19,0,22,0,7,0,0,4,"2019-05-12 22:55:02","1171","http://www.datosoficiales.com/resultados/CO/1/112/103/1171/GOB.json"
1,5,0,7,67,15,109,1,16,2,16,3,8,0,8,0,"2019-05-12 21:45:01","1172","http://www.datosoficiales.com/resultados/CO/1/112/103/1172/GOB.json"
7,7,0,10,73,11,89,5,15,0,16,3,7,0,8,1,"2019-05-12 23:10:01","1173","http://www.datosoficiales.com/resultados/CO/1/112/103/1173/GOB.json"
2,4,1,7,73,14,91,2,16,0,14,5,6,0,5,0,"2019-05-12 22:45:02","1174","http://www.datosoficiales.com/resultados/CO/1/112/103/1174/GOB.json"
2,8,1,6,84,8,96,7,18,3,23,2,6,0,4,0,"2019-05-13 01:25:01","1175","http://www.datosoficiales.com/resultados/CO/1/112/103/1175/GOB.json"
3,7,0,6,74,8,82,6,17,3,24,0,7,0,7,0,"2019-05-13 02:35:01","1176","http://www.datosoficiales.com/resultados/CO/1/112/103/1176/GOB.json"
4,10,0,4,82,12,102,3,15,0,14,0,6,0,3,0,"2019-05-12 22:35:01","1177","http://www.datosoficiales.com/resultados/CO/1/112/103/1177/GOB.json"
2,3,0,9,86,16,83,5,16,1,15,0,5,0,3,0,"2019-05-12 22:05:01","1178","http://www.datosoficiales.com/resultados/CO/1/112/103/1178/GOB.json"
4,7,0,3,71,7,105,4,23,0,13,0,5,0,6,0,"2019-05-12 22:15:01","1179","http://www.datosoficiales.com/resultados/CO/1/112/103/1179/GOB.json"
1,10,1,7,73,14,82,1,22,0,18,2,7,0,3,7,"2019-05-12 22:45:02","1180","http://www.datosoficiales.com/resultados/CO/1/112/104/1180/GOB.json"
0,6,0,4,55,15,111,5,18,0,11,0,8,0,7,5,"2019-05-12 22:50:01","1181","http://www.datosoficiales.com/resultados/CO/1/112/104/1181/GOB.json"
2,6,0,8,66,4,96,3,23,1,22,0,2,0,1,3,"2019-05-12 23:40:01","1182","http://www.datosoficiales.com/resultados/CO/1/112/104/1182/GOB.json"
1,8,0,9,70,21,82,4,17,0,15,0,8,0,2,0,"2019-05-12 22:20:01","1183","http://www.datosoficiales.com/resultados/CO/1/112/104/1183/GOB.json"
2,3,0,3,87,7,90,4,16,1,14,1,6,0,3,7,"2019-05-12 22:55:02","1184","http://www.datosoficiales.com/resultados/CO/1/112/104/1184/GOB.json"
2,9,0,10,73,11,81,1,17,0,17,2,9,0,7,5,"2019-05-12 22:40:01","1185","http://www.datosoficiales.com/resultados/CO/1/112/104/1185/GOB.json"
3,5,1,4,40,14,120,5,24,0,16,0,11,0,7,0,"2019-05-12 23:10:01","1186","http://www.datosoficiales.com/resultados/CO/1/112/105/1186/GOB.json"
1,4,0,6,38,11,130,2,18,0,20,1,6,0,11,1,"2019-05-12 22:15:01","1187","http://www.datosoficiales.com/resultados/CO/1/112/105/1187/GOB.json"
4,2,2,5,33,7,130,2,15,0,18,0,5,0,8,0,"2019-05-12 23:05:01","1188","http://www.datosoficiales.com/resultados/CO/1/112/105/1188/GOB.json"
2,3,1,7,43,7,121,4,19,0,15,0,0,0,5,2,"2019-05-12 22:50:01","1189","http://www.datosoficiales.com/resultados/CO/1/112/105/1189/GOB.json"
1,4,0,6,46,14,114,4,18,0,15,3,16,0,4,1,"2019-05-12 22:35:01","1190","http://www.datosoficiales.com/resultados/CO/1/112/105/1190/GOB.json"
15,2,0,6,50,13,104,0,21,0,17,0,13,0,5,0,"2019-05-12 23:50:01","1191","http://www.datosoficiales.com/resultados/CO/1/112/105/1191/GOB.json"
2,3,1,4,61,18,105,1,13,2,20,1,12,0,2,0,"2019-05-12 23:15:01","1192","http://www.datosoficiales.com/resultados/CO/1/112/105/1192/GOB.json"
0,3,0,2,45,11,109,4,12,3,6,0,14,0,16,0,"2019-05-12 21:50:01","1193","http://www.datosoficiales.com/resultados/CO/1/112/105/1193/GOB.json"
3,1,1,2,40,6,104,2,27,2,17,0,15,0,9,0,"2019-05-12 23:55:01","1194","http://www.datosoficiales.com/resultados/CO/1/112/105/1194/GOB.json"
2,1,0,5,61,6,116,2,25,0,23,0,6,0,4,0,"2019-05-12 22:00:01","1195","http://www.datosoficiales.com/resultados/CO/1/112/105/1195/GOB.json"
1,4,1,6,36,6,112,0,17,0,12,1,10,0,12,0,"2019-05-12 22:05:01","1196","http://www.datosoficiales.com/resultados/CO/1/112/105/1196/GOB.json"
2,4,0,5,32,9,121,5,17,1,21,1,12,0,5,0,"2019-05-12 22:25:01","1197","http://www.datosoficiales.com/resultados/CO/1/112/105/1197/GOB.json"
1,4,0,4,35,13,110,4,14,0,17,1,9,1,10,2,"2019-05-12 23:00:01","1198","http://www.datosoficiales.com/resultados/CO/1/112/105/1198/GOB.json"
2,1,0,3,59,7,102,2,25,2,11,0,18,0,7,0,"2019-05-12 23:45:01","1199","http://www.datosoficiales.com/resultados/CO/1/112/105/1199/GOB.json"
2,5,1,7,48,11,106,3,14,2,16,3,8,0,4,0,"2019-05-12 23:40:01","1200","http://www.datosoficiales.com/resultados/CO/1/112/106/1200/GOB.json"
0,0,2,2,41,8,130,4,21,0,18,0,11,0,5,0,"2019-05-12 23:10:01","1201","http://www.datosoficiales.com/resultados/CO/1/112/106/1201/GOB.json"
2,6,0,4,35,1,113,0,24,0,15,1,18,0,1,7,"2019-05-12 23:15:01","1202","http://www.datosoficiales.com/resultados/CO/1/112/106/1202/GOB.json"
2,3,1,11,47,10,109,4,19,0,14,0,15,0,9,0,"2019-05-12 23:25:01","1203","http://www.datosoficiales.com/resultados/CO/1/112/106/1203/GOB.json"
0,3,2,7,43,18,105,5,23,0,21,0,7,0,7,3,"2019-05-12 23:40:01","1204","http://www.datosoficiales.com/resultados/CO/1/112/106/1204/GOB.json"
2,4,1,4,50,8,105,7,12,0,14,1,8,0,3,0,"2019-05-12 21:40:01","1205","http://www.datosoficiales.com/resultados/CO/1/112/106/1205/GOB.json"
5,4,0,3,59,9,98,3,33,0,9,0,5,0,3,3,"2019-05-12 23:45:01","1206","http://www.datosoficiales.com/resultados/CO/1/112/106/1206/GOB.json"
2,1,0,3,34,9,135,3,17,1,18,0,7,0,5,0,"2019-05-12 23:40:01","1207","http://www.datosoficiales.com/resultados/CO/1/112/106/1207/GOB.json"
3,3,1,4,42,14,121,3,13,4,8,1,3,7,9,7,"2019-05-12 23:35:01","1208","http://www.datosoficiales.com/resultados/CO/1/112/106/1208/GOB.json"
4,2,0,6,53,13,106,5,16,1,13,2,12,0,3,0,"2019-05-13 00:05:01","1209","http://www.datosoficiales.com/resultados/CO/1/112/106/1209/GOB.json"
5,3,0,4,47,10,95,3,33,0,21,0,9,0,6,0,"2019-05-12 23:40:01","1210","http://www.datosoficiales.com/resultados/CO/1/112/106/1210/GOB.json"
3,2,0,5,62,11,97,5,19,1,17,2,10,0,4,1,"2019-05-12 23:00:01","1211","http://www.datosoficiales.com/resultados/CO/1/112/106/1211/GOB.json"
