"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia de Río Negro","RN"
"Departamento","Alto Valle Centro","RN.1"
"Localidad","Cerro Policia","RN.1.2848"
"Establecimiento","Escuela Primaria N 289","RN.1.2903.19"
"Mesa","1230","RN.1.2903.19.1230"
"Mesa","1231","RN.1.2903.19.1231"
"Mesa","1232","RN.1.2903.19.1232"
"Mesa","1233","RN.1.2903.19.1233"
"Mesa","1234","RN.1.2903.19.1234"
"Mesa","1235","RN.1.2903.19.1235"
"Mesa","1236","RN.1.2903.19.1236"
"Mesa","1237","RN.1.2903.19.1237"
"Mesa","1238","RN.1.2903.19.1238"
"Establecimiento","Esc. Sec. De Rio Negro N 111","RN.1.2903.2"
"Mesa","1287","RN.1.2903.2.1287"
"Mesa","1288","RN.1.2903.2.1288"
"Mesa","1289","RN.1.2903.2.1289"
"Mesa","1290","RN.1.2903.2.1290"
"Mesa","1291","RN.1.2903.2.1291"
"Mesa","1292","RN.1.2903.2.1292"
"Mesa","1293","RN.1.2903.2.1293"
"Establecimiento","Escuela Primaria N 290","RN.1.2903.20"
"Mesa","1137","RN.1.2903.20.1137"
"Mesa","1138","RN.1.2903.20.1138"
"Mesa","1139","RN.1.2903.20.1139"
"Mesa","1140","RN.1.2903.20.1140"
"Establecimiento","Escuela Primaria N 317","RN.1.2903.21"
"Mesa","1115","RN.1.2903.21.1115"
"Mesa","1116","RN.1.2903.21.1116"
"Mesa","1117","RN.1.2903.21.1117"
"Mesa","1118","RN.1.2903.21.1118"
"Mesa","1119","RN.1.2903.21.1119"
"Mesa","1120","RN.1.2903.21.1120"
"Mesa","1121","RN.1.2903.21.1121"
"Mesa","1122","RN.1.2903.21.1122"
"Establecimiento","Escuela Primaria N 32","RN.1.2903.22"
"Mesa","1141","RN.1.2903.22.1141"
"Mesa","1142","RN.1.2903.22.1142"
"Mesa","1143","RN.1.2903.22.1143"
"Mesa","1144","RN.1.2903.22.1144"
"Mesa","1145","RN.1.2903.22.1145"
