"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia del Neuquén","NE"
"Departamento","Confluencia","NE.1"
"Localidad","Cutral Co","NE.1.10"
"Mesa","183","NE.1.22.13.183"
"Mesa","184","NE.1.22.13.184"
"Mesa","185","NE.1.22.13.185"
"Establecimiento","ESCUELA 205","NE.1.22.14"
"Mesa","186","NE.1.22.14.186"
"Mesa","187","NE.1.22.14.187"
"Mesa","188","NE.1.22.14.188"
"Mesa","189","NE.1.22.14.189"
"Mesa","190","NE.1.22.14.190"
"Mesa","191","NE.1.22.14.191"
"Establecimiento","ESCUELA 154","NE.1.22.15"
"Mesa","452","NE.1.22.15.452"
"Mesa","453","NE.1.22.15.453"
"Mesa","454","NE.1.22.15.454"
"Mesa","455","NE.1.22.15.455"
"Establecimiento","ESCUELA 178","NE.1.22.16"
"Mesa","432","NE.1.22.16.432"
"Mesa","433","NE.1.22.16.433"
"Mesa","434","NE.1.22.16.434"
"Mesa","435","NE.1.22.16.435"
"Mesa","436","NE.1.22.16.436"
"Establecimiento","ESCUELA 197","NE.1.22.17"
"Mesa","442","NE.1.22.17.442"
"Mesa","443","NE.1.22.17.443"
"Mesa","444","NE.1.22.17.444"
"Mesa","445","NE.1.22.17.445"
"Mesa","446","NE.1.22.17.446"
"Establecimiento","ESCUELA 1","NE.1.22.18"
"Mesa","336","NE.1.22.18.336"
"Mesa","337","NE.1.22.18.337"
"Mesa","338","NE.1.22.18.338"
"Mesa","339","NE.1.22.18.339"
"Mesa","340","NE.1.22.18.340"
"Mesa","341","NE.1.22.18.341"
"Mesa","342","NE.1.22.18.342"
"Mesa","343","NE.1.22.18.343"
"Establecimiento","ESCUELA 256","NE.1.22.19"
"Mesa","370","NE.1.22.19.370"
"Mesa","371","NE.1.22.19.371"
"Mesa","372","NE.1.22.19.372"
"Mesa","373","NE.1.22.19.373"
"Mesa","374","NE.1.22.19.374"
"Establecimiento","ESCUELA 2","NE.1.22.2"
"Mesa","150","NE.1.22.2.150"
"Mesa","151","NE.1.22.2.151"
"Mesa","152","NE.1.22.2.152"
"Mesa","153","NE.1.22.2.153"
"Mesa","154","NE.1.22.2.154"
"Mesa","155","NE.1.22.2.155"
"Mesa","156","NE.1.22.2.156"
"Establecimiento","ESCUELA 150","NE.1.22.20"
"Mesa","363","NE.1.22.20.363"
"Mesa","364","NE.1.22.20.364"
"Mesa","365","NE.1.22.20.365"
"Mesa","366","NE.1.22.20.366"
"Mesa","367","NE.1.22.20.367"
"Mesa","368","NE.1.22.20.368"
"Mesa","369","NE.1.22.20.369"
"Establecimiento","ESCUELA 181","NE.1.22.21"
"Mesa","375","NE.1.22.21.375"
"Mesa","376","NE.1.22.21.376"
"Mesa","377","NE.1.22.21.377"
"Mesa","378","NE.1.22.21.378"
"Mesa","379","NE.1.22.21.379"
"Establecimiento","C.P.E.M 26","NE.1.22.22"
"Mesa","411","NE.1.22.22.411"
"Mesa","412","NE.1.22.22.412"
"Mesa","413","NE.1.22.22.413"
"Mesa","414","NE.1.22.22.414"
"Mesa","415","NE.1.22.22.415"
"Establecimiento","ESCUELA 147","NE.1.22.23"
"Mesa","380","NE.1.22.23.380"
"Mesa","381","NE.1.22.23.381"
"Mesa","382","NE.1.22.23.382"
"Mesa","383","NE.1.22.23.383"
"Mesa","384","NE.1.22.23.384"
"Establecimiento","ESCUELA 202","NE.1.22.24"
"Mesa","531","NE.1.22.24.531"
"Mesa","532","NE.1.22.24.532"
"Mesa","533","NE.1.22.24.533"
"Mesa","534","NE.1.22.24.534"
"Mesa","535","NE.1.22.24.535"
"Mesa","536","NE.1.22.24.536"
"Establecimiento","E.P.E.T 7","NE.1.22.25"
"Mesa","385","NE.1.22.25.385"
"Mesa","386","NE.1.22.25.386"
"Mesa","387","NE.1.22.25.387"
"Mesa","388","NE.1.22.25.388"
"Mesa","389","NE.1.22.25.389"
"Establecimiento","ESCUELA 195","NE.1.22.26"
"Mesa","344","NE.1.22.26.344"
"Mesa","345","NE.1.22.26.345"
"Mesa","346","NE.1.22.26.346"
"Mesa","347","NE.1.22.26.347"
"Mesa","348","NE.1.22.26.348"
"Mesa","349","NE.1.22.26.349"
"Mesa","350","NE.1.22.26.350"
"Establecimiento","ESCUELA 309","NE.1.22.27"
"Mesa","351","NE.1.22.27.351"
"Mesa","352","NE.1.22.27.352"
"Mesa","353","NE.1.22.27.353"
"Mesa","354","NE.1.22.27.354"
"Mesa","355","NE.1.22.27.355"
"Mesa","356","NE.1.22.27.356"
"Mesa","357","NE.1.22.27.357"
"Establecimiento","ESCUELA 107","NE.1.22.28"
"Mesa","314","NE.1.22.28.314"
"Mesa","315","NE.1.22.28.315"
"Mesa","316","NE.1.22.28.316"
"Mesa","317","NE.1.22.28.317"
"Mesa","318","NE.1.22.28.318"
"Mesa","319","NE.1.22.28.319"
"Establecimiento","E.P.E.T 5","NE.1.22.29"
"Mesa","320","NE.1.22.29.320"
"Mesa","321","NE.1.22.29.321"
"Mesa","322","NE.1.22.29.322"
"Mesa","323","NE.1.22.29.323"
"Mesa","324","NE.1.22.29.324"
"Establecimiento","C.P.E.M. 46","NE.1.22.3"
"Mesa","164","NE.1.22.3.164"
"Mesa","165","NE.1.22.3.165"
"Mesa","166","NE.1.22.3.166"
"Mesa","167","NE.1.22.3.167"
"Mesa","168","NE.1.22.3.168"
"Establecimiento","ESCUELA 280","NE.1.22.30"
"Mesa","558","NE.1.22.30.558"
"Mesa","559","NE.1.22.30.559"
"Mesa","560","NE.1.22.30.560"
"Mesa","561","NE.1.22.30.561"
"Establecimiento","ESCUELA 296","NE.1.22.31"
"Mesa","325","NE.1.22.31.325"
"Mesa","326","NE.1.22.31.326"
"Mesa","327","NE.1.22.31.327"
"Mesa","328","NE.1.22.31.328"
"Mesa","329","NE.1.22.31.329"
"Establecimiento","ESCUELA 295","NE.1.22.32"
"Mesa","516","NE.1.22.32.516"
"Mesa","517","NE.1.22.32.517"
"Mesa","518","NE.1.22.32.518"
"Mesa","519","NE.1.22.32.519"
"Mesa","520","NE.1.22.32.520"
"Establecimiento","ESCUELA 190","NE.1.22.33"
"Mesa","562","NE.1.22.33.562"
"Mesa","563","NE.1.22.33.563"
"Mesa","564","NE.1.22.33.564"
"Mesa","565","NE.1.22.33.565"
"Mesa","566","NE.1.22.33.566"
"Mesa","567","NE.1.22.33.567"
"Establecimiento","ESCUELA 193","NE.1.22.34"
"Mesa","568","NE.1.22.34.568"
"Mesa","569","NE.1.22.34.569"
"Mesa","570","NE.1.22.34.570"
"Mesa","571","NE.1.22.34.571"
"Mesa","572","NE.1.22.34.572"
"Establecimiento","C.P.E.M 54","NE.1.22.35"
"Mesa","573","NE.1.22.35.573"
"Mesa","574","NE.1.22.35.574"
"Mesa","575","NE.1.22.35.575"
"Mesa","576","NE.1.22.35.576"
"Mesa","577","NE.1.22.35.577"
"Mesa","578","NE.1.22.35.578"
"Establecimiento","ESCUELA 199","NE.1.22.36"
"Mesa","579","NE.1.22.36.579"
