"1","151","166","190","191","50","682","683","684","863","868","883","884","885","889","891","895","901","915","917","918","919","920","922","923","924","925","BLC","IMP","OBS","hora_proceso","numero","url"
2,10,1,34,38,5,28,8,7,9,8,6,3,14,3,5,10,6,10,7,5,1,6,10,3,4,6,6,0,0,"2023-09-03 18:40:01","42","https://plottier.datosoficiales.com/resultados/PL/68/42/CON.json"
2,6,1,37,53,3,22,5,4,3,7,6,5,21,1,6,5,7,7,7,1,3,20,5,4,1,8,9,0,0,"2023-09-03 18:40:01","43","https://plottier.datosoficiales.com/resultados/PL/68/43/CON.json"
0,13,2,26,60,1,22,7,3,7,9,7,10,21,1,1,6,10,8,5,3,1,13,5,9,3,3,6,0,0,"2023-09-03 18:40:01","44","https://plottier.datosoficiales.com/resultados/PL/68/44/CON.json"
2,17,4,34,69,6,18,4,7,4,2,3,6,17,0,8,5,8,3,6,1,4,9,7,6,0,4,8,0,0,"2023-09-03 18:40:01","45","https://plottier.datosoficiales.com/resultados/PL/68/45/CON.json"
0,10,2,30,49,3,20,8,4,8,4,7,5,27,0,4,9,2,3,6,5,3,8,12,4,6,4,11,0,0,"2023-09-03 18:45:01","46","https://plottier.datosoficiales.com/resultados/PL/68/46/CON.json"
5,14,3,31,37,5,25,2,17,2,4,6,8,14,5,1,4,7,8,5,3,0,10,7,5,4,8,8,0,0,"2023-09-03 18:40:01","1","https://plottier.datosoficiales.com/resultados/PL/69/1/CON.json"
4,6,2,33,42,4,20,10,18,5,4,4,1,15,3,2,11,4,5,5,2,0,12,8,13,2,3,10,0,0,"2023-09-03 18:40:01","2","https://plottier.datosoficiales.com/resultados/PL/69/2/CON.json"
7,8,4,18,54,4,19,6,11,3,6,6,7,13,1,7,1,9,5,5,5,3,9,8,5,3,5,5,0,0,"2023-09-03 18:40:01","3","https://plottier.datosoficiales.com/resultados/PL/69/3/CON.json"
2,8,6,19,50,6,24,8,14,4,6,6,4,15,0,5,3,8,4,4,5,0,7,8,6,1,4,13,0,0,"2023-09-03 18:40:01","4","https://plottier.datosoficiales.com/resultados/PL/69/4/CON.json"
2,4,3,37,32,0,20,4,10,4,8,6,9,18,6,6,4,6,4,8,3,1,12,10,4,1,6,12,0,0,"2023-09-03 18:40:01","5","https://plottier.datosoficiales.com/resultados/PL/69/5/CON.json"
2,11,1,29,49,8,22,8,9,5,8,4,6,26,2,5,5,6,2,11,3,2,6,7,4,4,3,9,0,1,"2023-09-03 18:40:01","100","https://plottier.datosoficiales.com/resultados/PL/695/100/CON.json"
1,11,1,33,31,5,17,6,9,2,10,8,6,25,1,2,7,9,6,6,9,2,7,7,3,1,5,5,0,0,"2023-09-03 18:40:01","97","https://plottier.datosoficiales.com/resultados/PL/695/97/CON.json"
0,9,2,42,42,0,20,2,7,2,10,6,5,21,0,3,7,6,7,4,3,3,17,8,1,3,4,10,0,0,"2023-09-03 18:40:01","98","https://plottier.datosoficiales.com/resultados/PL/695/98/CON.json"
0,11,3,23,44,2,22,9,5,5,10,2,7,33,5,2,11,4,6,11,2,1,8,9,8,0,4,8,0,0,"2023-09-03 18:40:01","99","https://plottier.datosoficiales.com/resultados/PL/695/99/CON.json"
3,7,2,34,45,3,19,3,4,5,9,6,4,21,3,2,6,11,11,7,1,0,9,13,3,6,6,10,0,0,"2023-09-03 18:40:01","10","https://plottier.datosoficiales.com/resultados/PL/70/10/CON.json"
1,10,5,32,44,7,31,7,5,6,7,7,3,16,6,7,3,8,4,3,3,2,7,3,5,2,7,8,0,0,"2023-09-03 18:40:01","6","https://plottier.datosoficiales.com/resultados/PL/70/6/CON.json"
0,7,4,26,39,4,18,11,6,3,8,6,4,17,5,6,10,15,4,3,4,1,7,2,5,3,6,16,0,2,"2023-09-03 18:40:01","7","https://plottier.datosoficiales.com/resultados/PL/70/7/CON.json"
5,10,2,13,46,2,13,7,19,5,7,9,7,21,2,0,9,8,8,2,6,0,11,12,11,1,3,9,0,0,"2023-09-03 18:40:01","8","https://plottier.datosoficiales.com/resultados/PL/70/8/CON.json"
1,14,4,30,40,3,15,7,11,3,7,9,5,20,3,2,7,6,7,4,3,1,8,12,5,3,7,15,0,0,"2023-09-03 18:40:01","9","https://plottier.datosoficiales.com/resultados/PL/70/9/CON.json"
