"1","151","166","180","190","191","192","193","23","40","41","50","64","67","673","674","675","72","74","842","863","882","883","901","908","914","915","BLC","IMP","OBS","REC","hora_proceso","numero","url"
1,60,3,6,5,22,5,7,5,17,3,7,4,7,40,6,4,14,13,2,4,2,3,7,10,6,1,10,0,0,0,"2023-04-16 20:15:01","730","https://neuquen.datosoficiales.com/resultados/NE/1/10/15/730/DIP.json"
3,42,0,7,6,9,6,6,3,25,4,6,5,15,47,8,5,11,27,2,3,3,1,8,7,3,2,14,0,0,0,"2023-04-16 20:25:01","731","https://neuquen.datosoficiales.com/resultados/NE/1/10/15/731/DIP.json"
0,36,3,4,7,9,12,8,5,26,7,1,5,16,52,5,7,17,24,2,1,3,4,4,9,2,2,3,0,0,0,"2023-04-16 20:15:01","732","https://neuquen.datosoficiales.com/resultados/NE/1/10/15/732/DIP.json"
5,37,1,1,7,15,3,3,4,24,3,3,7,15,53,7,7,11,21,5,3,3,1,5,5,5,2,9,0,0,0,"2023-04-16 20:25:01","733","https://neuquen.datosoficiales.com/resultados/NE/1/10/15/733/DIP.json"
1,49,0,3,5,10,8,4,7,14,2,4,5,12,52,5,6,18,21,3,4,3,3,5,11,8,4,11,0,0,0,"2023-04-16 19:15:01","734","https://neuquen.datosoficiales.com/resultados/NE/1/10/16/734/DIP.json"
3,36,2,4,5,6,3,3,5,21,9,2,8,18,60,6,7,20,19,3,2,3,2,5,10,5,2,9,0,0,0,"2023-04-16 19:35:01","735","https://neuquen.datosoficiales.com/resultados/NE/1/10/16/735/DIP.json"
3,42,4,2,6,10,7,6,2,21,3,4,7,10,51,4,4,17,17,4,3,1,3,5,9,4,0,13,0,0,0,"2023-04-16 19:15:01","736","https://neuquen.datosoficiales.com/resultados/NE/1/10/16/736/DIP.json"
2,47,1,3,2,12,3,7,3,18,5,5,2,13,78,2,3,16,21,0,1,2,5,3,10,4,3,8,0,0,0,"2023-04-16 19:15:01","737","https://neuquen.datosoficiales.com/resultados/NE/1/10/16/737/DIP.json"
4,51,4,4,9,10,4,5,4,15,5,3,7,18,58,4,10,14,16,3,3,4,3,1,8,3,2,10,0,0,0,"2023-04-16 19:15:01","738","https://neuquen.datosoficiales.com/resultados/NE/1/10/16/738/DIP.json"
0,58,2,4,6,19,5,3,5,15,3,8,2,15,37,1,9,7,21,2,0,2,3,2,7,4,3,5,0,0,0,"2023-04-16 19:15:01","739","https://neuquen.datosoficiales.com/resultados/NE/1/10/16/739/DIP.json"
0,37,2,5,6,12,7,9,2,26,3,7,5,13,53,4,1,18,17,6,3,3,5,7,7,3,4,9,0,0,0,"2023-04-16 21:20:01","675","https://neuquen.datosoficiales.com/resultados/NE/1/10/2/675/DIP.json"
6,53,1,7,7,8,6,6,3,16,0,6,3,7,44,5,3,19,24,0,2,5,2,6,9,5,2,10,0,1,0,"2023-04-16 21:20:01","676","https://neuquen.datosoficiales.com/resultados/NE/1/10/2/676/DIP.json"
3,46,1,4,8,14,4,9,2,17,5,5,4,16,53,8,4,13,12,3,7,2,1,6,8,3,2,11,0,0,0,"2023-04-16 21:20:01","677","https://neuquen.datosoficiales.com/resultados/NE/1/10/2/677/DIP.json"
2,39,1,6,7,14,8,5,6,22,4,1,5,13,62,9,5,15,19,0,3,4,0,3,8,4,1,4,0,0,0,"2023-04-16 21:20:01","678","https://neuquen.datosoficiales.com/resultados/NE/1/10/2/678/DIP.json"
1,50,5,2,5,11,2,9,4,16,1,0,7,12,51,8,6,12,17,2,1,2,4,6,17,5,0,9,0,0,0,"2023-04-16 21:20:01","679","https://neuquen.datosoficiales.com/resultados/NE/1/10/2/679/DIP.json"
1,43,2,4,3,9,6,5,11,20,3,5,6,19,61,3,4,13,19,3,3,2,2,5,7,2,2,10,0,0,0,"2023-04-16 21:20:01","680","https://neuquen.datosoficiales.com/resultados/NE/1/10/2/680/DIP.json"
4,39,2,1,6,11,4,5,7,17,6,3,4,24,48,5,2,16,17,1,2,2,0,6,11,4,1,19,0,2,0,"2023-04-16 19:45:01","687","https://neuquen.datosoficiales.com/resultados/NE/1/10/3/687/DIP.json"
2,47,4,2,5,19,7,8,4,17,4,2,4,13,56,7,4,14,15,2,0,3,2,6,6,3,4,9,0,0,0,"2023-04-16 19:45:01","688","https://neuquen.datosoficiales.com/resultados/NE/1/10/3/688/DIP.json"
1,51,4,3,4,8,4,6,4,21,5,5,4,14,56,6,1,18,17,5,4,2,2,2,5,4,2,11,0,1,0,"2023-04-16 19:40:01","689","https://neuquen.datosoficiales.com/resultados/NE/1/10/3/689/DIP.json"
1,41,3,5,7,12,5,9,2,18,3,0,8,14,72,7,1,20,20,2,1,2,1,5,4,3,2,18,0,0,0,"2023-04-16 19:55:01","690","https://neuquen.datosoficiales.com/resultados/NE/1/10/3/690/DIP.json"
3,48,0,2,6,11,5,5,8,14,5,4,6,18,49,6,4,14,16,4,3,2,0,3,12,5,2,10,0,5,0,"2023-04-16 19:45:01","691","https://neuquen.datosoficiales.com/resultados/NE/1/10/3/691/DIP.json"
3,27,2,4,3,10,6,4,5,21,8,3,5,16,57,8,10,15,19,1,4,1,2,6,8,5,1,13,0,0,0,"2023-04-16 19:20:01","652","https://neuquen.datosoficiales.com/resultados/NE/1/10/4/652/DIP.json"
