"totalMesas","mesasPublicadas","blancos","nulos","totalVotos","canElectores","canElectoresPublicados","nocomputados","tipCandidatura",1,3,7,10,14,15,21,23,30,33,45,777,911,"hora","horaequipo"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 17:37:55","01-05-2023 18:40:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 17:43:55","01-05-2023 18:45:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 17:47:55","01-05-2023 18:50:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 17:53:55","01-05-2023 18:55:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 17:57:55","01-05-2023 19:00:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:03:55","01-05-2023 19:05:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:07:55","01-05-2023 19:10:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:13:55","01-05-2023 19:15:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:17:55","01-05-2023 19:20:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:23:55","01-05-2023 19:25:02"
,"01-05-2023 19:30:19"
