"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Córdoba","CO"
"Departamento","Capital","CO.1"
"Mesa","463","CO.1.538.348.463"
"Mesa","464","CO.1.538.348.464"
"Establecimiento","ESC MARTIN DE GÜEMES","CO.1.538.349"
"Mesa","448","CO.1.538.349.448"
"Mesa","449","CO.1.538.349.449"
"Mesa","450","CO.1.538.349.450"
"Mesa","451","CO.1.538.349.451"
"Mesa","452","CO.1.538.349.452"
"Mesa","453","CO.1.538.349.453"
"Mesa","454","CO.1.538.349.454"
"Mesa","455","CO.1.538.349.455"
"Establecimiento","ESC CANONIGO PIÑERO","CO.1.538.350"
"Mesa","440","CO.1.538.350.440"
"Mesa","441","CO.1.538.350.441"
"Mesa","442","CO.1.538.350.442"
"Mesa","443","CO.1.538.350.443"
"Mesa","444","CO.1.538.350.444"
"Mesa","445","CO.1.538.350.445"
"Mesa","446","CO.1.538.350.446"
"Mesa","447","CO.1.538.350.447"
"Localidad","Villa Bustos (Circ. 5E)","CO.1.539"
"Establecimiento","ESC TTE GRAL P RICCHIERI","CO.1.539.351"
"Mesa","475","CO.1.539.351.475"
"Mesa","476","CO.1.539.351.476"
"Mesa","477","CO.1.539.351.477"
"Mesa","478","CO.1.539.351.478"
"Mesa","479","CO.1.539.351.479"
"Mesa","480","CO.1.539.351.480"
"Establecimiento","IPEM N° 136 DR ALFREDO PALACIOS","CO.1.539.352"
"Mesa","481","CO.1.539.352.481"
"Mesa","482","CO.1.539.352.482"
"Mesa","483","CO.1.539.352.483"
"Mesa","484","CO.1.539.352.484"
"Mesa","485","CO.1.539.352.485"
"Mesa","486","CO.1.539.352.486"
"Mesa","487","CO.1.539.352.487"
"Localidad","Renacimiento (Circ. 5F)","CO.1.540"
"Establecimiento","IPEM N° 114 ARTURO JAURECHE","CO.1.540.353"
"Mesa","496","CO.1.540.353.496"
"Mesa","497","CO.1.540.353.497"
"Mesa","498","CO.1.540.353.498"
"Mesa","499","CO.1.540.353.499"
"Mesa","500","CO.1.540.353.500"
"Mesa","501","CO.1.540.353.501"
"Mesa","502","CO.1.540.353.502"
"Establecimiento","ESC M COOPERATIVISMO ARGENTINO","CO.1.540.354"
"Mesa","488","CO.1.540.354.488"
"Mesa","489","CO.1.540.354.489"
"Mesa","490","CO.1.540.354.490"
"Mesa","491","CO.1.540.354.491"
"Mesa","492","CO.1.540.354.492"
"Mesa","493","CO.1.540.354.493"
"Mesa","494","CO.1.540.354.494"
"Mesa","495","CO.1.540.354.495"
"Localidad","San Vicente (Circ. 5G)","CO.1.541"
"Establecimiento","ESC MARIA IGNACIA NAVARRO DE L","CO.1.541.355"
"Mesa","527","CO.1.541.355.527"
"Mesa","528","CO.1.541.355.528"
"Mesa","529","CO.1.541.355.529"
"Mesa","530","CO.1.541.355.530"
"Mesa","531","CO.1.541.355.531"
"Mesa","532","CO.1.541.355.532"
"Mesa","533","CO.1.541.355.533"
"Establecimiento","ESC A F AVALOS","CO.1.541.356"
"Mesa","534","CO.1.541.356.534"
"Mesa","535","CO.1.541.356.535"
"Mesa","536","CO.1.541.356.536"
"Mesa","537","CO.1.541.356.537"
"Mesa","538","CO.1.541.356.538"
"Mesa","539","CO.1.541.356.539"
"Establecimiento","ESC DGO F SARMIENTO","CO.1.541.357"
"Mesa","511","CO.1.541.357.511"
"Mesa","512","CO.1.541.357.512"
"Mesa","513","CO.1.541.357.513"
"Mesa","514","CO.1.541.357.514"
"Mesa","515","CO.1.541.357.515"
"Mesa","516","CO.1.541.357.516"
"Mesa","517","CO.1.541.357.517"
"Mesa","518","CO.1.541.357.518"
"Establecimiento","ESC SANTA MARGARITA DE CORTONA","CO.1.541.358"
"Mesa","503","CO.1.541.358.503"
"Mesa","504","CO.1.541.358.504"
"Mesa","505","CO.1.541.358.505"
"Mesa","506","CO.1.541.358.506"
"Mesa","507","CO.1.541.358.507"
"Mesa","508","CO.1.541.358.508"
"Mesa","509","CO.1.541.358.509"
"Mesa","510","CO.1.541.358.510"
"Establecimiento","ESC SAN ANTONIO DE PADUA","CO.1.541.359"
"Mesa","540","CO.1.541.359.540"
"Mesa","541","CO.1.541.359.541"
"Mesa","542","CO.1.541.359.542"
